 
  Energy       1     5.8895165314E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.00000000    12.46764648
    3   ->     9     0.00000000    23.14137208
 
  Energy       8     1.8941714854E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     8     0.97279903    18.79219436
    6   ->     9     0.23122439    19.21574713
    1   ->     7     0.01385034    19.06897786
    6   ->    10     0.00138669    22.11063594
    3   ->    10     0.00125632    26.03626089
    5   ->     9     0.00104379    20.50349911
    2   ->     8     0.00070082    22.50303345
    2   ->    11     0.00034057    29.03007757
    1   ->     8     0.00033127    29.10436483
    6   ->    11     0.00030367    22.38481714
    3   ->    11     0.00025044    26.31044209
    5   ->    10     0.00007690    23.39838792
    3   ->     9     0.00007090    23.14137208
    3   ->     8     0.00006643    19.78339797
    4   ->     9     0.00006488    22.15016847
    2   ->    10     0.00005476    28.75589637
    6   ->     8     0.00005030    15.85777302
    1   ->    11     0.00003913    35.63140896
    5   ->    11     0.00001491    23.67256912
    2   ->     9     0.00001220    25.86100756
    1   ->    10     0.00000854    35.35722775
    5   ->     8     0.00000658    17.14552500
    3   ->    12     0.00000447    38.32213412
    2   ->    12     0.00000291    41.04176961
    4   ->    12     0.00000251    37.33093051
    1   ->    12     0.00000249    47.64310099
    5   ->     7     0.00000235     7.11013803
    6   ->    12     0.00000200    34.39650917
    4   ->    10     0.00000157    25.04505728
    2   ->     7     0.00000136    12.46764648
    4   ->     7     0.00000090     8.75680739
    5   ->    12     0.00000017    35.68426115
    6   ->     7     0.00000008     5.82238605
    3   ->     7     0.00000007     9.74801100
    1   ->     9     0.00000001    32.46233894
    4   ->    11     0.00000001    25.31923848
 
