 
  Energy       1     6.6336272039E-01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
  Energy       8     1.5995439430E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     9     0.99993071    15.76416599
    5   ->     9     0.00938760    19.96681718
    4   ->     9     0.00480479    20.30967589
    6   ->     8     0.00457891    15.43579424
    4   ->    11     0.00126230    22.66504211
    6   ->    11     0.00112165    18.11953221
    2   ->     8     0.00111808    24.22182559
    4   ->     8     0.00081007    19.98130414
    2   ->     9     0.00080634    24.55019734
    5   ->    10     0.00057967    20.93009636
    4   ->    10     0.00052219    21.27295507
    6   ->    10     0.00034196    16.72744517
    3   ->    10     0.00025964    21.42505474
    1   ->     8     0.00025637    29.44151408
    3   ->     9     0.00020950    20.46177555
    2   ->    10     0.00019121    25.51347653
    1   ->     7     0.00012234    14.61957160
    6   ->    12     0.00008893    21.56844749
    5   ->    11     0.00007884    22.32218340
    2   ->    12     0.00007252    30.35447884
    1   ->     9     0.00006188    29.76988583
    5   ->     8     0.00005522    19.63844543
    3   ->    12     0.00005057    26.26605705
    1   ->    12     0.00002988    35.57416732
    3   ->    11     0.00002815    22.81714178
    4   ->    12     0.00002579    26.11395738
    3   ->     7     0.00001484     5.31146133
    5   ->     7     0.00000632     4.81650295
    4   ->     7     0.00000401     5.15936166
    3   ->     8     0.00000281    20.13340380
    5   ->    12     0.00000190    25.77109867
    2   ->     7     0.00000140     9.39988312
    1   ->    10     0.00000133    30.73316501
    1   ->    11     0.00000040    32.12525205
    2   ->    11     0.00000010    26.90556356
    6   ->     7     0.00000000     0.61385176
 
