 
  Energy       1     6.0660129388E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    1   ->     7     0.00000195    19.36164232
    6   ->    12     0.00000179    37.06006527
    1   ->     9     0.00000122    31.98419706
    4   ->    10     0.00000058    25.23091287
    5   ->    10     0.00000026    23.62027508
    6   ->     7     0.00000012     6.06294159
    5   ->    12     0.00000004    38.32788377
    2   ->     7     0.00000000    12.62069740
    4   ->     7     0.00000000     8.94139788
 
